하루가 또 가네요.	하루가 또 갔습니다.
자기개발을 해보세요.	자기개발을 해보십시오.
회사는 친구 사귀는 곳이 아니에요.	회사는 친구 사귀는 곳이 아닙니다.
운동으로 땀을 내보세요. 한결 몸이 가벼워질거예요.	운동으로 땀을 내보십시오. 한결 몸이 가벼워질겁니다.
가기 싫어도 가야겠죠.	가기 싫어도 가야합니다.
가기 싫어도 가야겠죠.	가기 싫어도 가야합니다.
맛있는거 드세요.	맛있는거 드십시오.
다음에 잘 하면 돼요.	다음에 잘 하면 됩니다.
다음에 잘 하면 돼요.	다음에 잘 하면 됩니다.
한 시간 먼저 일어나보세요.	한 시간 먼저 일어나보십시오.
후련하니 다행이에요.	후련하니 다행입니다.
후련하니 다행이에요.	후련하니 다행입니다.
질투하지 마세요.	질투하지 마십시오.
배울 점은 배우세요.	배울 점은 배우십시오.
질투하지 마세요.	질투하지 마십시오.
잘 될거예요. 당신의 삶을 응원합니다!	잘 될겁니다. 당신의 삶을 응원합니다!
친하게 지내요!	친하게 지내십시오!
계획을 세워보세요.	계획을 세워보십시오.
푹 쉬고 오세요.	푹 쉬고 오십시오.
푹 쉬고 오세요.	푹 쉬고 오십시오.
안 좋은 회사네요.	안 좋은 회사입니다.
휴가가 간절하겠네요.	휴가가 간절하겠습니다.
안 좋은 회사네요.	안 좋은 회사입니다.
오래 쓰셨나봐요.	오래 쓰셨나 봅니다.
조심했어야죠!	조심했어야지 말입니다!
잠깐 핸드폰을 내려두세요.	잠깐 핸드폰을 내려두십시오.
쓰지 않는 어플을 삭제해보세요.	쓰지 않는 어플을 삭제해보십시오.
중독에서 벗어나세요.	중독에서 벗어나십시오.
중요한 것들을 백업해놓으세요.	중요한 것들을 백업해놓으십시오.
충전할 곳을 찾아보세요.	충전할 곳을 찾아보십시오.
포맷해보세요.	포맷해보십시오.
휴식도 필요하죠.	휴식도 필요합니다.
저도 쉬고 놀고 하고 싶어요.	저도 쉬고 놀고 하고 싶습니다.
저도 쉬고 놀고 하고 싶어요.	저도 쉬고 놀고 하고 싶습니다.
생활용품이 은근 많이 들어가요.	생활용품이 은근 많이 들어갑니다.
생활용품이 은근 많이 들어가요.	생활용품이 은근 많이 들어갑니다.
계획 세우고 하세요.	계획 세우고 하십시오.
준비하고 결정하는 게 좋을 거예요.	준비하고 결정하는 게 좋을 겁니다.
계획 세우고 하세요.	계획 세우고 하십시오.
준비하고 결정하는 게 좋을 거예요.	준비하고 결정하는 게 좋을 겁니다.
먹고 자고 그게 진리예요.	먹고 자고 그게 진리입니다.
아무렇게나 자라도 돼요.	아무렇게나 자라도 됩니다.
저와의 대화한 것 자체는 희망적이에요.	저와의 대화한 것 자체는 희망적입니다.
저와의 대화한 것 자체는 희망적이에요.	저와의 대화한 것 자체는 희망적입니다.
일방적 희생양이 되지 않길 바랍니다.	일방적 희생양이 되지 않길 바랍니다.
뽑지말고 염색을 해보세요.	뽑지말고 염색을 해보십시오.
뽑지말고 염색을 해보세요.	뽑지말고 염색을 해보십시오.
계속 주고 있었을 거예요.	계속 주고 있었을 겁니다.
계속 주고 있었을 거예요.	계속 주고 있었을 겁니다.
응원합니다!	응원합니다!
응원합니다!	응원합니다!
다 지나갈 거예요.	다 지나갈 겁니다.
다 지나갈 거예요.	다 지나갈 겁니다.
잊지말고 보답하세요.	잊지말고 보답하십시오.
응원합니다!	응원합니다!
더 오래 만날 사람 만날 거예요.	더 오래 만날 사람 만날 겁니다.
더 공허함이 크시겠네요.	더 공허함이 크시겠습니다.
더 좋은 사람 만나실 거예요.	더 좋은 사람 만나실 겁니다.
더 마음이 허하겠어요.	더 마음이 허하겠습니다.
충분히 슬퍼하고 충분히 아파하다가 이겨내세요.	충분히 슬퍼하고 충분히 아파하다가 이겨내십시오.
함께 걸은 길을 혼자 돌아가고 계시겠네요.	함께 걸은 길을 혼자 돌아가고 계시겠습니다.
이별은 보고 싶은 마음을 참는 과정이죠.	이별은 보고 싶은 마음을 참는 과정입니다.
충분히 슬퍼하고 충분히 아파하다가 이겨내세요.	충분히 슬퍼하고 충분히 아파하다가 이겨내십시오.
좋은 연애였길 바라요.	좋은 연애였길 바랍니다.
시간이 무색하네요.	시간이 무색합니다.
천천히 써보세요.	천천히 써보십시오.
또 다른 사랑이 찾아올 거예요.	또 다른 사랑이 찾아올 겁니다.
만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.	만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 겁니다.
충분히 슬퍼하고 충분히 아파하다가 이겨내세요.	충분히 슬퍼하고 충분히 아파하다가 이겨내십시오.
현실과 마주하셨나봐요.	현실과 마주하셨나 봅니다.
은연 중에 생각했나봐요.	은연 중에 생각했나 봅니다.
헤어짐은 항상 힘들죠.	헤어짐은 항상 힘든 것 같습니다.
만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.	만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 겁니다.
시간이 무색해지네요.	시간이 무색해집니다.
시간이 흐른 거 같은데 아직 많이 아프신가봐요.	시간이 흐른 거 같은데 아직 많이 아프신가 봅니다.
아무것도 아닌 건 아닐 거예요.	아무것도 아닌 건 아닐 겁니다.
잊지 못하고 있나요.	잊지 못하고 있으십니까.
생각이 더 나죠.	생각이 더 납니다.
헤어지면 연락 하지도 받지도 마세요.	헤어지면 연락 하지도 받지도 마십시오.
인연이 여기까지였나봅니다.	인연이 여기까지였나봅니다.
안타깝네요.	안타깝습니다.
안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.	안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠습니다.
인연이 거기까지였나봐요.	인연이 거기까지였나 봅니다.
다시 연락을 했나봐요.	다시 연락을 했나 봅니다.
짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.	짧지는 않은 시간 동안의 연애였는데 마음이 아픕니다.
많이 알지 못했나봐요.	많이 알지 못했나 봅니다.
애석하게도 헤어지셨네요.	애석하게도 헤어지셨습니다.
만남을 정리하게 되었나봐요.	만남을 정리하게 되었나 봅니다.
고생 많았어요.	고생 많으셨습니다.
좋은 사랑 하셨나봐요.	좋은 사랑 하셨나 봅니다.
추억은 추억일 때 좋을 때도 있어요.	추억은 추억일 때 좋을 때도 있습니다.
많이 힘들지 않았으면 좋겠네요.	많이 힘들지 않았으면 좋겠습니다.
이별도 여러 번이면 마음이 이별을 준비해요.	이별도 여러 번이면 마음이 이별을 준비합니다.
꿈같았던 만큼 놀라셨겠어요.	꿈같았던 만큼 놀라셨겠습니다.
좋았길 바랄게요.	좋았길 바라겠습니다.
다른 역을 향해 떠나요.	다른 역을 향해 떠나십시오.
지나가지 말지 그랬어요.	지나가지 말지 그랬습니까.
시간이 쓰디쓴 약이었나봅니다.	시간이 쓰디쓴 약이었나봅니다.
2주 동안 고생했어요.	2주 동안 고생하셨습니다.
시간이 더 많이 지나가길 바랄게요.	시간이 더 많이 지나가길 바라겠습니다.
잘 참았어요.	잘 참았습니다.
힘들겠네요.	힘들겠습니다.
나이에 상관없이 이별은 참 마음이 아프네요.	나이에 상관없이 이별은 참 마음이 아픕니다.
시간 텀이 기네요.	시간 텀이 깁니다.
그동안 많이 기다렸겠어요.	그동안 많이 기다렸겠습니다.
제자리여도 괜찮아요.	제자리여도 괜찮습니다.
헤어지고 연락 받지 마요.	헤어지고 연락 받지 마십시오.
아프지 마요.	아프지 마십시오.
돈이 문제죠.	돈이 문제입니다.
많이 허절할 거라 생각해요.	많이 허절할 거라 생각합니다.
마침표가 이어져서 선이 되기도 하죠.	마침표가 이어져서 선이 되기도 합니다.
힘들겠지만 잘 이겨낼 거예요.	힘들겠지만 잘 이겨낼 겁니다.
상처받은 마음 보듬어주고 싶네요.	상처받은 마음 보듬어주고 싶습니다.
힘들겠지만 잘 이겨낼 거예요.	힘들겠지만 잘 이겨낼 겁니다.
힘들겠지만 잘 이겨낼 수 있을 거예요.	힘들겠지만 잘 이겨낼 수 있을 겁니다.
힘들겠지만 잘 이겨낼 거예요.	힘들겠지만 잘 이겨낼 겁니다.
괜찮길 바랄게요.	괜찮길 바라겠습니다.
긴 시간인데 깊게 사랑했나봐요.	긴 시간인데 깊게 사랑했나 봅니다.
권태기가 마침표인지 쉼표인지 살펴보세요.	권태기가 마침표인지 쉼표인지 살펴보십시오.
물리적인 시간은 잘도 가죠.	물리적인 시간은 잘도 갑니다.
이제야 실감이 나나 봐요.	이제야 실감이 나나  봅니다.
나이에 상관없이 이별은 힘들죠.	나이에 상관없이 이별은 힘든 것 같습니다.
인연이 거기까지였나봐요.	인연이 거기까지였나 봅니다.
이별 중인가봐요.	이별 중인가 봅니다.
사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.	사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마십시오.
환승 이별은 예의가 아니네요.	환승 이별은 예의가 아닌 것 같습니다.
만났던 시간이 긴 만큼 많이 힘들겠어요.	만났던 시간이 긴 만큼 많이 힘들겠습니다.
헤어지면 남이에요. 신경쓰면 더 힘들어져요.	헤어지면 남입니다. 신경쓰면 더 힘들어집니다.
사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.	사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마십시오.
사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.	사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마십시오.
힘든 시간 잘 버텨내고 있길 바랄게요.	힘든 시간 잘 버텨내고 있길 바라겠습니다.
한동안 받아들이기 버거울거예요.	한동안 받아들이기 버거울겁니다.
사람 속을 모를 때가 있어요.	사람 속을 모를 때가 있습니다.
좋은 마무리가 되었길 바랍니다.	좋은 마무리가 되었길 바랍니다.
잦은 만남과 이별로 지쳤겠어요.	잦은 만남과 이별로 지쳤겠습니다.
헤어짐에도 준비가 필요할 거예요.	헤어짐에도 준비가 필요할 겁니다.
준비하는 시간도 힘들 거 같아요.	준비하는 시간도 힘들 거 같습니다.
더 헤어지지 힘들겠어요.	더 헤어지지 힘들겠습니다.
저는 저에게 투자하는 시간을 가져요. 예를들면 운동이나 여행같이 잡념을 없앨 수 있는 일들이요.	저는 저에게 투자하는 시간을 가집니다. 예를들면 운동이나 여행같이 잡념을 없앨 수 있는 일들입니다.
마음이 복잡하겠어요.	마음이 복잡하겠습니다.
생각을 오래하면 더욱 지칠 수 있어요.	생각을 오래하면 더욱 지칠 수 있습니다.
한동안 많이 힘들지도 몰라요. 맘고생 많았어요.	한동안 많이 힘들지도 모릅니다. 맘고생 많으셨습니다.
종교 차이는 생각보다 민감한 부분이더라고요. 연애 기간이 무색하게도 힘들었겠어요.	종교 차이는 생각보다 민감한 부분인 것 같습니다. 연애 기간이 무색하게도 힘들었겠습니다.
머릿속은 텅비고 마음은 복잡하겠어요.	머릿속은 텅비고 마음은 복잡하겠습니다.
힘든 결정이었을텐데 혼자만의 시간이 필요하겠어요.	힘든 결정이었을텐데 혼자만의 시간이 필요하겠습니다.
생각을 비워보세요.	생각을 비워보십시오.
행복했던 기억만 남았길 바랄게요.	행복했던 기억만 남았길 바라겠습니다.
사랑의 끝은 항상 허무하네요.	사랑의 끝은 항상 허무합니다.
감당하기 어려웠을 거예요.	감당하기 어려웠을 겁니다.
여기까지였을 거예요.	여기까지였을 겁니다.
긴 시간이 무색하겠지만 아련한 추억이 될 거예요.	긴 시간이 무색하겠지만 아련한 추억이 될 겁니다.
소중한 이야기 제가 들어드릴게요.	소중한 이야기 제가 들어드리겠습니다.
아쉬운 이야기네요.	아쉬운 이야기입니다.
그만큼 애틋한 사랑이였겠어요.	그만큼 애틋한 사랑이였겠습니다.
오랜만의 만남이네요.	오랜만의 만남입니다.
물리적 시간에 비례하지 않으니까요.	물리적 시간에 비례하지 않으니까 그렇지 않겠습니까.
또 다시 열심히 살아가고 사랑하는 거죠.	또 다시 열심히 살아가고 사랑하면 될 것 같습니다.
환승 이별은 예의가 아니네요.	환승 이별은 예의가 아닌 것 같습니다.
생각을 비워보는 건 어떨까요.	생각을 비워보는 건 어떻습니까.
좋은 기억들만 남았길 바랄게요.	좋은 기억들만 남았길 바라겠습니다.
함께한 시간이 시간이니 만큼 놀랐겠어요.	함께한 시간이 시간이니 만큼 놀랐겠습니다.
힘든 시간 잘 버텨냈어요.	힘든 시간 잘 버텨냈습니다.
힘들겠지만 천천히 보내주세요.	힘들겠지만 천천히 보내주십시오.
힘들겠지만 천천히 보내주세요.	힘들겠지만 천천히 보내주십시오.
이야기가 잘 풀렸다니 다행이에요.	이야기가 잘 풀렸다니 다행입니다.
오랜 사랑 하셨네요.	오랜 사랑 하셨습니다.
오래 사귀셨네요.	오래 사귀셨습니다.
반복되면 습관이 됩니다.	반복되면 습관이 됩니다.
끝을 맺느라 고생했어요.	끝을 맺느라 고생하셨습니다.
헤어지세요.	헤어지십시오.
그런 사람 못 고쳐 씁니다. 헤어지세요.	그런 사람 못 고쳐 씁니다. 헤어지십시오.
세월 만큼 힘들겠네요.	세월 만큼 힘들겠습니다.
힘내세요.	힘내십시오.
힘내세요.	힘내십시오.
긴 시간 만큼 힘이 들 거예요.	긴 시간 만큼 힘이 들 겁니다.
끝내는 게 힘들었을 거 같아요.	끝내는 게 힘들었을 거 같습니다.
여기까지였을 거예요.	여기까지였을 겁니다.
새로운 사랑을 찾아보세요.	새로운 사랑을 찾아보십시오.
딱 힘들 때네요.	딱 힘들 때입니다.
공허함이 더 크시겠어요.	공허함이 더 크시겠습니다.
끝은 항상 힘들지요.	끝은 항상 힘든 것 같습니다.
환승 이별은 예의가 아니네요.	환승 이별은 예의가 아닌 것 같습니다.
공허함이 더 크시겠어요.	공허함이 더 크시겠습니다.
정말 공허함이 크겠어요.	정말 공허함이 크겠습니다.
공허함이 더 크시겠어요.	공허함이 더 크시겠습니다.
가사가 비슷한가봐요.	가사가 비슷한가 봅니다.
SNS 끊는게 힘들죠.	SNS 끊는게 힘든 것 같습니다.
SNS 흔적 삭제하세요.	SNS 흔적 삭제하십시오.
SNS 보지 마세요.	SNS 보지 마십시오.
무거워도 괜찮아요.	무거워도 괜찮습니다.
슬픈 가사 듣지 마요.	슬픈 가사 듣지 마십시오.
많이 아프지 말아요.	많이 아프지 마십시오.
덜 아팠으면 좋겠어요.	덜 아팠으면 좋겠습니다.
아무 생각 하지 말고 푹 주무세요.	아무 생각 하지 말고 푹 주무십시오.
자신을 더 사랑해주세요.	자신을 더 사랑해주십시오.
아픈만큼 더 성숙해질 거예요.	아픈만큼 더 성숙해질 겁니다.
가슴 아픈 만큼 행복해지세요.	가슴 아픈 만큼 행복해지십시오.
아픈 만큼 행복해지세요.	아픈 만큼 행복해지십시오.
마음이 하라는 대로 해야죠.	마음이 하라는 대로 해야 합니다.
이게 가장 슬픈 일인 거 같아요.	이게 가장 슬픈 일인 거 같습니다.
저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요.	저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있습니다.
마침표 찍는 것도 용기가 필요하죠.	마침표 찍는 것도 용기가 필요합니다.
사랑한 만큼 가혹하죠.	사랑한 만큼 가혹한 것 같습니다.
간단하지 않은 것.	간단하지 않은 것.
여러번 해도 어려워요.	여러번 해도 어렵습니다.
좋은 추억만 간직하세요.	좋은 추억만 간직하십시오.
이혼하세요.	이혼하십시오.
보고 싶은 걸 참는 게 이별 과정이더라고요.	보고 싶은 걸 참는 게 이별 과정인 것 같습니다.
좋은 날이 있을 거예요.	좋은 날이 있을 겁니다.
시간이 가면 무뎌질 거예요.	시간이 가면 무뎌질 겁니다.
저는 항상 심해요.	저는 항상 심합니다.
상대방이 상처를 받았나봐요.	상대방이 상처를 받았나 봅니다.
심호흡을 해보세요.	심호흡을 해보십시오.
문자가 나을 수도 있겠네요.	문자가 나을 수도 있겠습니다.
그러니까 나도 우울.	그러니까 나도 우울.
토닥토닥	토닥토닥
자신을 더 사랑해주세요.	자신을 더 사랑해주십시오.
좋아하는 것을 해보세요.	좋아하는 것을 해보십시오.
당황했나요?	당황했하셨습니까?
황당하네요.	황당합니다.
이유가 있을 거예요.	이유가 있을 겁니다.
이유가 있을 거예요.	이유가 있을 겁니다.
조금만 더 버텨보세요.	조금만 더 버텨보십시오.
이별은 모두 갑작스럽죠.	이별은 모두 갑작스럽습니다.
좋은 연락이었으면 좋겠네요.	좋은 연락이었으면 좋겠습니다.
그래도 할 거면 해야겠죠.	그래도 할 거면 해야할 것 같습니다.
같은 하늘 아래 숨 쉬고 있어요.	같은 하늘 아래 숨 쉬고 있습니다.
새로운 여행을 떠나보세요.	새로운 여행을 떠나보십시오.
이제 내려주세요.	이제 내려주십시오.
이제 내려주세요.	이제 내려주십시오.
아니었나봅니다.	아니었나봅니다.
나쁜 사람.	나쁜 사람.
지금은 아닌가요.	지금은 아닙니까.
더 오래 함께할 사람이 있을 거예요.	더 오래 함께할 사람이 있을 겁니다.
소리 한 번 크게 지르고 잊어버리세요.	소리 한 번 크게 지르고 잊어버리십시오.
잘 지낼 수 있을 거예요.	잘 지낼 수 있을 겁니다.
축복은 누구에게나 찾아오는 거래요.	축복은 누구에게나 찾아오는 거라고 합니다.
매력있어요.	매력있습니다.
거울 안 봐도 괜찮아요.	거울 안 봐도 괜찮습니다.
술 많이 드시면 더 무너져요.	술 많이 드시면 더 무너집니다.
소리 한 번 크게 지르고 잊어버리세요.	소리 한 번 크게 지르고 잊어버리십시오.
아무래도 그렇죠.	아무래도 그렇습니다.
슬픈 미련을 버리세요.	슬픈 미련을 버리십시오.
걸지 말아요.	걸지 마십시오.
차단도 병이죠.	차단도 병입니다.
워워~ 진정하세요.	워워~ 진정하십시오.
용기를 가지세요.	용기를 가지십시오.
마음 가는 대로 하세요.	마음 가는 대로 하십시오.
더 힘들겠어요.	더 힘들겠습니다.
조금만 더 버텨보세요.	조금만 더 버텨보십시오.
오늘을 살아가는 것.	오늘을 살아가는 것.
결혼에 골인하는게 무조건 사랑의 성공은 아닐 거예요.	결혼에 골인하는게 무조건 사랑의 성공은 아닐 겁니다.
놓느라 고생했어요.	놓느라 고생하셨습니다.
힘내세요!	힘내십시오!
연락 기다리지 마요.	연락 기다리지 마십시오.
다른 생각 하고 주무세요.	다른 생각 하고 주무십시오.
사랑도 또 다시 올 거예요.	사랑도 또 다시 올 겁니다.
또 일어나면 돼요.	또 일어나면 됩니다.
후회만 남을지도 몰라요.	후회만 남을지도 모릅니다.
만나면 못 말할 것 같았나봐요.	만나면 못 말할 것 같았나 봅니다.
다신 실수하지 않길 바랄게요.	다신 실수하지 않길 바라겠습니다.
인연이 거기까지 였나봐요.	인연이 거기까지 였나 봅니다.
잘하셨어요.	잘하셨습니다.
속은 후련하겠어요.	속은 후련하겠습니다.
이제 시작이죠.	이제 시작입니다.
상담도 도움이 될 거예요.	상담도 도움이 될 겁니다.
시작할 때는 끝을 알지 못하죠.	시작할 때는 끝을 알지 못합니다.
시작할 때는 그 끝을 알지 못하죠.	시작할 때는 그 끝을 알지 못합니다.
좋은 시작이 되길 기원할게요.	좋은 시작이 되길 기원하겠습니다.
이제 망상을 버릴 때가 왔어요.	이제 망상을 버릴 때가 왔습니다.
그런 소리 마세요.	그런 소리 마시지 말입니다.
후회하는 것 보단 낫겠네요.	후회하는 것 보단 낫겠습니다.
마음이 더 복잡하겠어요.	마음이 더 복잡하겠습니다.
이제 연락 하지 마세요.	이제 연락 하지 마시지 말입니다.
이제 진짜 잊어요.	이제 진짜 잊으시지말입니다.
더 좋은 사람 만나실 거예요.	더 좋은 사람 만나실 겁니다.
또 다른 사랑이 찾아올 거예요.	또 다른 사랑이 찾아올 겁니다.
시작이 있으면 끝도 있는 법이에요.	시작이 있으면 끝도 있는 법입니다.
시작이 있으면 끝도 있는 법이에요.	시작이 있으면 끝도 있는 법입니다.
말하기 힘들었겠어요.	말하기 힘들었겠습니다.
언젠간 올 시기였을거예요.	언젠간 올 시기였을겁니다.
거기까지가 끝인가봐요.	거기까지가 끝인가봅니다.
쉽게 받아들여지진 않을거예요.	쉽게 받아들여지진 않을겁니다.
깨끗하게 잊으세요.	깨끗하게 잊으시지 말입니다.
힘내지 않아도 돼요. 충분히 슬퍼하고 다시 일어나세요.	힘내지 않아도 됩니다. 충분히 슬퍼하고 다시 일어나시지 말입니다.
더 오래 살아야 하니 가치관이 중요하겠죠.	더 오래 살아야 하니 가치관이 중요하지 말입니다.
헤어질 거면 빨리 하는게 낫지요.	헤어질 거면 빨리 하는게 낫습니다.
어떤 상황보다 받아들이기 힘들거라 생각해요.	어떤 상황보다 받아들이기 힘들거라 생각합니다.
현실이라는 벽에 부딪혔군요.	현실이라는 벽에 부딪혔습니까.
이혼보다 파혼이 낫죠.	이혼보다 파혼이 낫습니다.
안타깝게 생각해요.	안타깝게 생각합니다.
그때도 괜찮다면.	그때도 괜찮다면 말입니다.
힘들겠네요.	힘들겠습니다.
사람은 다 이기적이죠.	사람은 다 이기적입니다.
결혼에는 확신이 필요하죠.	결혼에는 확신이 필요합니다.
한동안은 그럴거예요.	한동안은 그럴겁니다.
사랑했던 만큼 생각나겠죠.	사랑했던 만큼 생각날겁니다.
후회하지 않았으면 좋겠어요.	후회하지 않았으면 좋겠습니다.
생각할 시간과 정리할 시간이 필요하다는 거겠죠.	생각할 시간과 정리할 시간이 필요하다는 겁니다.
잘 때 다른 생각을 하고 주무세요.	잘 때 다른 생각을 하고 주무시지 말입니다.
더 좋아질 거예요.	더 좋아질 겁니다.
생각을 종이에 끄젹여여 보는게 도움이 될 수도 있어요.	생각을 종이에 끄젹여여 보는게 도움이 될 수도 있습니다.
후회는 후회를 낳을뿐이에요. 용기 내세요.	후회는 후회를 낳을뿐입니다. 용기 내시지 말입니다.
그럴 줄 몰랐을 거예요.	그럴 줄 몰랐을 겁니다.
사람이 크죠.	사람이 큽니다.
더 좋은 날들이 올 거예요.	더 좋은 날들이 올 겁니다.
더 좋은 날들이 올 거예요.	더 좋은 날들이 올 겁니다.
확신이 없나봐요.	확신이 없나봅니다.
조금만 더 버텨보세요.	조금만 더 버텨보시지 말입니다.
제가 채워줄게요.	제가 채워드리겠습니다.
제가 채워줄게요.	제가 채워드리겠습니다.
제가 채워줄게요.	제가 채워드리겠습니다.
견디기 힘들었을텐데 괜찮은가요.	견디기 힘들었을텐데 괜찮으십니까.
현재에 집중하세요.	현재에 집중하시지 말입니다.
과거랑 현재랑 미래는 함께 해요.	과거랑 현재랑 미래는 함께 합니다.
현재의 나한테 사과하세요.	현재의 나한테 사과하시지 말입니다.
돌아오길 바란다면 연락해보세요.	돌아오길 바란다면 연락해보시지 말입니다.
마음이 알고 있을 거예요.	마음이 알고 있을 겁니다.
사랑과 증오 사이에서 괴로워하시는군요.	사랑과 증오 사이에서 괴로워하시잖습니까.
괜찮아질 거예요.	괜찮아질 겁니다.
더 괜찮아 지려고 하는 과정일 거예요.	더 괜찮아 지려고 하는 과정일 겁니다.
심호흡을 해보세요.	심호흡을 해보시지 말입니다.
심호흡을 해보세요.	심호흡을 해보시지 말입니다.
더 괜찮아 지려고 하는 과정일 거예요.	더 괜찮아 지려고 하는 과정일 겁니다.
더 괜찮아 질 거예요.	더 괜찮아 질 겁니다.
울어도 괜찮아요.	울어도 괜찮습니다.
조금만 더 힘내세요.	조금만 더 힘내시지 말입니다.
울어도 괜찮아요.	울어도 괜찮습니다.
괜찮은 척 하고 있던 걸 수도 있어요.	괜찮은 척 하고 있던 걸 수도 있습니다.
울어도 괜찮아요.	울어도 괜찮습니다.
자신을 가장 잘 모르고 살아요.	자신을 가장 잘 모르고 삽니다.
안 괜찮아도 돼요.	안 괜찮아도 됩니다.
이젠 떠나간 사람 때문에 괴로워 말아요.	이젠 떠나간 사람 때문에 괴로워 마시지 말입니다.
우리는 많이 모르고 살죠.	우리는 많이 모르고 삽니다.
우리는 참 많이 모르고 살죠.	우리는 참 많이 모르고 삽니다.
척 안해도 돼요.	척 안해도 됩니다.
안 괜찮아도 돼요.	안 괜찮아도 됩니다.
아니었나요.	아니었습니까.
쉽게 나아지지 않지요.	쉽게 나아지지 않습니다.
헛된 희망은 자신을 더 괴롭게 만들거예요.	헛된 희망은 자신을 더 괴롭게 만들겁니다.
이제 카톡하지 마요.	이제 카톡하지 마시지 말입니다.
괴로울만 해요.	괴로울만 합니다.
한동안은 그럴지도 몰라요.	한동안은 그럴지도 모릅니다.
사랑은 주고 받기죠.	사랑은 주고 받기지 말입니다.
전역해서 더 좋은 사람 만날 수 있을 거예요.	전역해서 더 좋은 사람 만날 수 있을 겁니다.
전역해서 더 좋은 사람 만날 수 있을 거예요.	전역해서 더 좋은 사람 만날 수 있을 겁니다.
환승은 진짜 예의가 없네요.	환승은 진짜 예의가 없습니다.
네 말씀해주세요.	네 말씀해주시지 말입니다.
네 물어보세요.	네 물어보시지 말입니다.
네 무엇이든 물어보세요.	네 무엇이든 물어보시지 말입니다.
이겨낼 수 있어요.	이겨낼 수 있습니다.
사람은 모두 이기적인 동물이에요.	사람은 모두 이기적인 동물입니다.
극복하거나 이별하거나 둘 중 하나죠.	극복하거나 이별하거나 둘 중 하나입니다.
극복하거나 이별하거나 둘 중 하나죠.	극복하거나 이별하거나 둘 중 하나입니다.
그 사람도 힘들었을 거예요.	그 사람도 힘들었을 겁니다.
극복하려는 노력은 해보는 게 좋을 거 같아요.	극복하려는 노력은 해보는 게 좋을 거 같습니다.
더 좋은 사람 만나실 거예요.	더 좋은 사람 만나실 겁니다.
좋은 모습만 기억에 남겠죠.	좋은 모습만 기억에 남을 겁니다.
그럴 거예요.	그럴 겁니다.
찾아보지 마세요.	찾아보지 마시지 말입니다.
사랑했나봐요.	사랑했나봅니다.
다른 사람과 다녀보세요.	다른 사람과 다녀보시지 말입니다.
될 수 있어요.	될 수 있습니다.
억지로라도 웃는 게 도움이 될 거예요.	억지로라도 웃는 게 도움이 될 겁니다.
힘내세요.	힘내시지 말입니다.
조금만 더 버텨보세요.	조금만 더 버텨보시지 말입니다.
궁금할 수 있어요.	궁금할 수 있습니다.
그럴 수 있을 거예요.	그럴 수 있을 겁니다.
포기 하지 마요.	포기 하지 마시지 말입니다.
마음이 헛헛하군요.	마음이 헛헛하시잖습니까.
천천히 보내주세요.	천천히 보내주시지 말입니다.
마음이 지쳤나봐요.	마음이 지쳤나봅니다.
행동파시군요.	행동파시잖습니까.
아련하네요.	아련합니다.
보내는 것도 사랑이에요.	보내는 것도 사랑입니다.
쓰면서 정리가 되기도 하죠.	쓰면서 정리가 되기도 합니다.
충분히 잘 살고 있어요.	충분히 잘 살고 있습니다.
이별은 언제 해도 익숙해지지가 않으니까요.	이별은 언제 해도 익숙해지지가 않지않습니까.
들어드릴게요.	들어드리겠습니다.
스스로에게 하는 말인가요.	스스로에게 하는 말입니까.
연인은 친구가 될 수 없어요.	연인은 친구가 될 수 없습니다.
행복이 최고죠.	행복이 최고입니다.
저를 찾아줘서 고마워요.	저를 찾아줘서 고맙습니다.
아름다운 사이네요.	아름다운 사이십니다.
큐피드의 화살에 맞았나봐요.	큐피드의 화살에 맞았나봅니다.
잠 못 드는 밤인가봐요.	잠 못 드는 밤인가봅니다.
몸을 피곤하게 하거나 다른 생각을 해보세요.	몸을 피곤하게 하거나 다른 생각을 해보시지 말입니다.
지금은 생생하겠지만 하나씩 잊으세요.	지금은 생생하겠지만 하나씩 잊으시지 말입니다.
가장 사랑했던 사람이 가장 아프게 하죠.	가장 사랑했던 사람이 가장 아프게 합니다.
꿈과 현실은 같지 않아요.	꿈과 현실은 같지 않습니다.
지금처럼 현실을 인정하세요.	지금처럼 현실을 인정하시지 말입니다.
당신도 힘들어 보이네요.	당신도 힘들어 보이십니다.
